2026-08-03 18:54:33,023 | INFO     | stockm.api.access | POST /predict 404 3.8ms rid=064b27f084c1
2026-08-03 18:54:33,025 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 404 Not Found"
2026-08-03 18:54:33,033 | INFO     | stockm.api.access | GET /models 200 3.3ms rid=a6e24f9511af
2026-08-03 18:54:33,034 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:33,050 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
2026-08-03 18:54:33,086 | WARNING  | stockm.api.service | batch predict failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10']
2026-08-03 18:54:33,086 | WARNING  | stockm.api.service | batch predict: "no deployed model for 'NONEXISTENT.NS'"
2026-08-03 18:54:33,087 | INFO     | stockm.api.service | batch predict: 2 symbols, 0 ok, 2 errors, 46.6ms
2026-08-03 18:54:33,088 | INFO     | stockm.api.access | POST /predict/batch 200 51.1ms rid=d5a067ae7468
2026-08-03 18:54:33,089 | INFO     | httpx | HTTP Request: POST http://testserver/predict/batch "HTTP/1.1 200 OK"
2026-08-03 18:54:33,114 | INFO     | stockm.api.access | GET /models 200 3.1ms rid=889b3d776b29
2026-08-03 18:54:33,116 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:33,128 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
2026-08-03 18:54:33,165 | WARNING  | stockm.api.service | batch predict failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10']
2026-08-03 18:54:33,165 | INFO     | stockm.api.service | batch predict: 1 symbols, 0 ok, 1 errors, 44.2ms
2026-08-03 18:54:33,166 | INFO     | stockm.api.access | POST /predict/batch 200 47.8ms rid=4f9c8a251077
2026-08-03 18:54:33,168 | INFO     | httpx | HTTP Request: POST http://testserver/predict/batch "HTTP/1.1 200 OK"
2026-08-03 18:54:33,176 | INFO     | stockm.api.errors | validation error: (.'.b.o.d.y.'.,. .'.s.y.m.b.o.l.'.): String should have at least 1 character (path=/predict)
2026-08-03 18:54:33,176 | INFO     | stockm.api.access | POST /predict 422 3.5ms rid=e5dffbacaab1
2026-08-03 18:54:33,178 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 422 Unprocessable Entity"
2026-08-03 18:54:33,186 | INFO     | stockm.api.errors | validation error: (.'.b.o.d.y.'.,. .'.s.y.m.b.o.l.'.): Field required (path=/predict)
2026-08-03 18:54:33,187 | INFO     | stockm.api.access | POST /predict 422 3.3ms rid=d991bab6874e
2026-08-03 18:54:33,188 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 422 Unprocessable Entity"
2026-08-03 18:54:33,196 | INFO     | stockm.api.access | GET /models 200 2.8ms rid=98fee9632b57
2026-08-03 18:54:33,197 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:33,208 | INFO     | stockm.api.errors | validation error: (.'.b.o.d.y.'.,. .'.t.h.r.e.s.h.o.l.d.'.): Input should be less than or equal to 0.1 (path=/predict)
