2026-07-21 20:40:43,269 | INFO    | stockm.ingestion |   saved EICHERMOT.NS     -> EICHERMOT_NS.csv
2026-07-21 20:40:44,268 | INFO    | stockm.ingestion |   saved HEROMOTOCO.NS    -> HEROMOTOCO_NS.csv
2026-07-21 20:40:45,301 | INFO    | stockm.ingestion |   saved BAJAJ-AUTO.NS    -> BAJAJ-AUTO_NS.csv
2026-07-21 20:40:46,628 | INFO    | stockm.ingestion |   saved BRITANNIA.NS     -> BRITANNIA_NS.csv
2026-07-21 20:40:47,964 | INFO    | stockm.ingestion |   saved UPL.NS           -> UPL_NS.csv
2026-07-21 20:40:49,033 | INFO    | stockm.ingestion |   saved SHREECEM.NS      -> SHREECEM_NS.csv
2026-07-21 20:40:49,985 | INFO    | stockm.ingestion |   saved BPCL.NS          -> BPCL_NS.csv
2026-07-21 20:40:50,962 | INFO    | stockm.ingestion |   saved TATACONSUM.NS    -> TATACONSUM_NS.csv
2026-07-21 20:40:51,839 | INFO    | stockm.ingestion |   saved INDUSINDBK.NS    -> INDUSINDBK_NS.csv
2026-07-21 20:40:52,578 | INFO    | stockm.ingestion |   saved SBILIFE.NS       -> SBILIFE_NS.csv
2026-07-21 20:40:53,493 | INFO    | stockm.ingestion |   saved HINDALCO.NS      -> HINDALCO_NS.csv
2026-07-21 20:40:54,396 | INFO    | stockm.ingestion |   saved DABUR.NS         -> DABUR_NS.csv
2026-07-21 20:40:56,491 | ERROR   | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: JSPL.NS"}}}
